Name,Category,Population Served,Location,Hours,Contact Information,Eligibility,Details
VA Southeast Louisiana,Medical,,"2400 Canal St, New Orleans, LA 70119 ",,,,
New Orleans Women & Children’s Shelter,"Career Planning, Case Management, Housing Services, Shelters","Domestic/Sexual Violence Survivors, Families, Single Father-led Families, Women, Young Mothers","2020 S Liberty St, NOLA 70113",24/7,(504) 522-9340,"women over the age of 18 and their children, single father led and intact families, and women in all stages of their pregnancy.",no limit to length of stay
New Orleans Family Justice Center,"Case Management, Legal Services, Shelters",Domestic/Sexual Violence Survivors,Confidential Location - must call crisis hotline,"Crisis Hotline 24/7
Forensic & Medical Care: 8am-4pm M-F","Crisis Hotline: (504) 866.9554
Forensic & Medical Care: 504-503-0878
https://www.nofjc.org/our-services#crisis-services",immediate safe housing for people fleeing domestic violence and abuse,
Low Barrier Shelter,Shelters,,"1530 Gravier Street New Orleans, LA 70112  ",24/7,"(504) 517-1518 ",,
Salvation Army,"Career Planning, Free Meals, Shelters","Families, Men, Seniors, Women","4500 S Claiborne Ave, New Orleans","Monday -Thursday from 4:00pm

No weekend entries

Clients depart Center of Hope by 7:00 AM and can return to facility at 4:00 PM (curfew is 6:00 PM)"," (504) 899-4569","****not gender affirming****

• Potential shelter clients must pre-register for entry
• Those needing shelter will need a current (State Issued) photo ID in order to enter
• Must have a current TB test showing a negative result
• Recently tested for COVID-19 and have written documentation of when and the result
• No after-hours walk-ins accepted","• Clients can utilize overnight emergency shelter for 30 – 90 days (first 7 days free, followed by $10 per night thereafter)"
Traveler’s Aid,"Case Management, Housing Services, Legal Services","Families, Men, Women","1530 Gravier St, New Orleans, LA 70112",Office Hours: M-F 7:30am-3:30pm,(504) 658-2944,,
Total Community Action,"Career Planning, Food Pantries","Families, Men, Women","1410 Norman C Francis Pkwy, NOLA 70125","Emergency Food Pantry:
Tuesdays 8:30am – 6pm 
Fridays   8:30am – 4pm",,"low income vulnerable individuals/families in zip codes 70118 and 70125. To qualify for the food pantry clients must bring income, picture ID and Social Security card for everyone in household.","requires application, DL, SSN card, proof of residence, proof of income"
Youth Drop-In Center,Shelters,Youth,"1512 N. Robertson St. New Orleans, LA. 70116","Day Shelter
11am-7pm M-F",(504) 350-8434,Ages 14-24,"washer/dryer access; shower; resources/housing resources; computer access, games and books available; snacks/food; assistance with applying for benefits"
Hagar’s House,Shelters,"Transgender/ Gender Diverse, Women, Youth",call for more information,,"angela@fgcanola.org
504-210-5064",,
Odyssey House,"Mental Health & SUD, Syringe Access","Men, Women","Text, check instagram & website for locations",Syringe Access: Text 504-418-4955,"https://www.instagram.com/iprevent_ohl
(504)418-4955
https://urldefense.proofpoint.com/v2/url?u=https-3A__www.iprevent.org_calendar&d=DwMF-g&c=xlPCXuHzMdaH2Flc1sgyicYpGQbQbU9KDEmgNF3_wI0&r=L5wnrKzpUxu7YS09rtG3iLYodnyv39eGTIQOhHjtqI4&m=uh3jd7lFGdpMD66x9jzj1EzFYqGm7H2-EAaaQliEi3o&s=nhIMj2UZ9pbyLFkPNOJ1Zbyfa-gtZys_x0KpbTHQIeg&e=",,
"Boystown, LA",Housing Services,Youth,,,,must be referred by court or legal guardian,
Eden Shelter,"Housing Services, Legal Services, Mental Health & SUD",Domestic/Sexual Violence Survivors,,,"(504) 407-0943

https://edenhousenola.org/eden-residential/","Shelter: 
Must get a referral for admission
Must be a human trafficking survivor
Longer-term housing:
Be at least 18 years of age
Be substance free
Commit to our long-term program
Not be on the sex offender registry",
Oxford House,"Housing Services, Mental Health & SUD","Men, Women","Many locations - see website for vacancies ",,"https://oxfordvacancies.com/

","Housing for individuals in recovery from alcohol or substance use disorder 
Must apply & interview. 
Per a Baton Rouge Oxford House Director:
$150 move-in fee, $150 weekly rent - this does not have to be paid until the resident finds a job & starts working","Apply Online Here:
https://oxfordvacancies.com/applyOnline.aspx

Printable application found in https://www.notion.so/Volunteer-Resources-95ebf45e20484aea8cf92f94b4a81fd2?pvs=21"
Harry Thompson Center,Housing Services,,,,,,
Grace at the Greenlight,"Clothing, Free Meals","Families, Men, Seniors, Women, Youth","400 N. Rampart St.New Orleans, LA  70112","Community Clothing Closet is open every Tuesday and Saturday from 7:30 am to 8 am

Breakfast & Registration For Services:
6:30 AM – 7:30 AM everyday","(504)239-4544
mailto:sarah@graceatthegreenlight.org",,Offers a reunification program to help reunite the unhoused with family members
Lantern Light (St. Joseph Rebuild Center),"Career Planning, Case Management, Free Meals, Social Work","Families, Men, Women","Morning snacks & Lunch:
Line up at parking lot gate on S. Roman Street.  ","Morning Snacks served 9:00am – 1:30pm.
Lunch served 1:00pm – 1:30pm.","Social Worker to obtain resources that will benefit their specific needs. By Appointment Only. Contact (504) 273-5573, Ext. 114.

https://www.lanternlight.org/services",,"Birth Certificate & ID Assistance
Pharmacy Assistance

Mail Services: 
Tuesdays and Fridays, 1:00pm – 1:30pm. (New registrants must have Picture ID.)"
New Orleans Community Fridges,Free Meals,,"Multiple Locations (check web for more)
Recirculating Farms
1924 Jackson Ave, New Orleans, Louisiana, 70113
Jukebox Farm
1014 N Miro St, New Orleans, Louisiana, 70119
3016 St Philip St
3016 St Philip St, New Orleans, Louisiana, 70119",24/7,https://www.nolacommunityfridges.org/locations,"“Anyone in need of food for any reason may use any fridge as a resource at any time of the day. With that in mind, please be conscious of the needs of others. Do not take more than you need. Do not unreasonably disturb local residents.”","We do have a https://www.facebook.com/groups/521475586502978 page 'https://www.facebook.com/groups/521475586502978' where community members can update when they fill a fridge, want to list a fridge's contents, or notice when a fridge needs some love."
Broadmoor Improvement Association,"Career Planning, Food Pantries, Social Work, Transportation","Families, Men, Seniors, Women","Food Pantry: 
Broadmoor Community Church
2021 South Dupre Street.

General BIA:
3900 General Taylor St.
New Orleans LA 70125
","Food Pantry:
Tuesdays 10am-12pm
Wednesdays 1-3pm","504-249-5130

https://www.broadmoorimprovement.com/","Residents interested in receiving food assistance can bring proof of income (SNAP, SSI, TANF award letter, check stubs, bank statements) and proof of residence (utility bill, bank statements, mail) to the pantry during operating hours to apply for assistance.","Meet with a social work intern at the food pantry on Wednesdays; BIA partners with a senior center to provide programming and transportation "
New Orleans Job Corps,Career Planning,"Men, Spanish Speaking, Women, Youth","8825 Airline Hwy
New Orleans, LA 70118",apply online anytime,"800-733-JOBS
800-733-5627
877-889-5627 TTY
https://neworleans.jobcorps.gov/contact/students","application & interview required; zero-tolerance policy for drugs and alcohol

Must fill out online application, then prospective student will be contacted by the Job Coprs to schedule an interview ","Job Corps provides students two meals a day, basic medical care, clothes and supplies needed for their training. All students also receive a small stipend."
Louisiana Workforce Commission,Career Planning,,,,,,
New Orleans Food Pantry,Food Pantries,"Families, Men, Women",https://goo.gl/maps/kY6AtBPPE3Q2,"Tuesday - Friday: 7:00 am - 11:00 am
Saturday: 9:00 am - 12:00 pm",https://givinghopenola.org/food-pantry,"You’re eligible to receive a food box once a month. You will need some form of ID to sign in to receive a food box. 
Louisiana ID Proof of Residency, Utility Bill (Water Bill, Energy) or lease showing the address where you live. Proof of income (SSI, Award Letter, Disability, or Pay Check Stub)","Due to Covid-19 you will need to have a mask to pickup your food and the means to get it to your vehicle. Recommendation is something on wheels, trips in and out of the distribution center will not be allowed. Everyone will receive one box of nutritional foods (meat, produce, dairy & bread)."
UMC Social Services,Health Insurance,"Families, Men, Seniors, Spanish Speaking, Women","Ambulatory Care Building 4th Floor, Clinic 4C 2001 Tulane Ave. (main entrance) New Orleans, LA 70112",," (504)702-4130","UMC Patient - ask Dr. to refer you
Picture I.D., and/or proof of residency (like an Entergy bill  or water bill) 
Proof of monthly income (household) 
Your insurance card, if applicable","Low income subsidy 
Medicare part D enrollment
Referrals for non-medical needs"
Louisiana Medicaid,Health Insurance,"Families, Men, Spanish Speaking, Women",,Agents are accepting calls Monday through Friday from 8 a.m. to 4:30 p.m.,"Call the Medicaid hotline toll free at 1.888.342.6207 for help applying. 

https://ldh.la.gov/page/about-medicaid","In Louisiana, you qualify to receive Medicaid if you:
• Receive Supplemental Security Income (SSI) from the SSA
You may also qualify for Medicaid coverage if you:
• Are disabled according to the Social Security Administration’s https://www.ssa.gov/planners/disability/qualify.html#anchor3
• Have corrected vision no better than 20/200
• Are a low-income parent of children under age 19
• Are a child under age 19
• Are pregnant
• Have no insurance and need treatment for breast and/or cervical cancer
• Receive Medicare coverage and are low-income, or 
• Are aged 19 to 64 years old, have a household income less than 138% of the federal poverty level, doesn't already qualify for Medicaid or Medicare, and meet citizenship requirement
• Get financial help from the Office of Family Support (OFS) through the https://sspweb.ie.dcfs.la.gov/selfservice/selfserviceJSPController?id=0.36878627798322705&tab=1 (FITAP)",
LCMC Financial Assistance,Health Insurance,"Families, Men, Seniors, Spanish Speaking, Women","Patient Financial Services Attn: Financial Counseling 2000 Canal St. New Orleans, LA 70112","Monday - Friday, 8:30 am – 4:30 pm","https://www.lcmchealth.org/for-patients/financial-assistance/

(504)962-7000","Must have an ID, proof of LA presidency (mail or DL), income verification
*must apply
If you and/or the responsible party’s income combined is at or below 250% of the federal poverty guidelines, you will have no financial responsibility for the care given by University Medical Center New Orleans.",
Medicaid,Transportation,,,,"Beneficiaries may reach the Fee-For-Service broker, Verida, at 1(855)325-7626.","Medicaid covered transportation is available to Medicaid beneficiaries when:
The beneficiary is enrolled in a Medicaid benefit program that explicitly includes transportation services; and
The beneficiary or their representative has stated that they have no other means of transportation.",Medicaid beneficiaries should contact transportation broker call centers at least 48 hours prior to the requested transportation services.
Medicare,"Health Insurance, Transportation",Seniors,,,https://www.medicare.gov/coverage/ambulance-services,"Age 65+
You may qualify for Medicare if you are younger than 65 and have a disability, end-stage renal disease, or ALS.

Medicare https://www.medicare.gov/coverage/ambulance-services if you need care from a:
• Hospital
• Critical access hospital
• Rural emergency hospital
• Skilled nursing facility",You can request wheelchair accessible medical transport if you have a wheelchair or scooter and require mobilized seating.
